sub_ID,Sleep,Awake
098,0.11428571428571428,0.74
127,0.24571428571428572,0.5991379310344828
158,0.31313131313131315,0.6326530612244898
279,0.21518987341772153,0.7272727272727273
547,0.17777777777777778,0.5116279069767442
633,0.46464646464646464,0.7263157894736842
815,0.4444444444444444,0.6375
906,0.3142857142857143,0.6818181818181818
914,0.23148148148148148,0.4215686274509804
958,0.2204724409448819,0.6027397260273972
965,0.08108108108108109,0.5476190476190477
971,0.21804511278195488,0.6842105263157895
