Start,End,AUC,PC,Limbs,SIB
2024-03-28 01:22:00.445855618,2024-03-28 01:27:15.887829542,225.53666474969026,18.085295344160798,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 01:27:27.935855627,2024-03-28 01:28:40.047147036,20.531674487758426,,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 01:28:44.033146858,2024-03-28 01:30:04.253146887,23.366948691613082,,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 01:30:13.933146954,2024-03-28 01:30:23.463106632,0.39366587875222114,,"{'RL', 'T', 'RW', 'LW'}",0
2024-03-28 01:30:28.713146925,2024-03-28 01:34:25.087829590,172.81827379122996,11.391797708083573,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 01:35:16.835855484,2024-03-28 01:35:25.735855579,2.5711103044043986,,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 01:36:36.727147102,2024-03-28 01:37:04.737829447,13.45978561042071,15.080745632251153,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 01:37:19.455855608,2024-03-28 01:37:21.347147226,0.021953970601733066,,"{'T', 'LL'}",0
2024-03-28 01:37:39.935855627,2024-03-28 01:37:40.775855541,0.012567336611813435,,{'LL'},0
2024-03-28 01:37:46.003106594,2024-03-28 01:37:55.227147102,0.323393652803554,,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 01:38:03.655855656,2024-03-28 01:38:05.665855646,0.011283402796414373,,{'LL'},0
2024-03-28 01:38:17.437829494,2024-03-28 01:38:19.687147141,0.07708000312276991,,"{'RL', 'T', 'RW', 'LL'}",0
2024-03-28 01:38:38.137829542,2024-03-28 01:38:38.487829447,0.02625838545533814,,"{'RL', 'T'}",0
2024-03-28 01:38:52.013146877,2024-03-28 01:38:53.703146935,0.013806181383408474,,{'LW'},0
2024-03-28 01:39:09.063106298,2024-03-28 01:39:10.563106298,0.0168633730917601,,{'RW'},0
2024-03-28 01:40:12.395855665,2024-03-28 01:40:16.067147017,0.1543277136014165,,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 01:41:41.293106556,2024-03-28 01:41:52.065855502,4.699518711408808,,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 01:42:26.013146877,2024-03-28 01:42:27.423146963,0.07667520726345207,,{'LW'},1
2024-03-28 01:45:30.793146849,2024-03-28 01:45:32.893106699,0.1454671453341788,,"{'RW', 'LW'}",1
2024-03-28 01:50:51.943106890,2024-03-28 01:50:52.703106642,0.027491964075840706,,{'RW'},1
2024-03-28 02:12:32.763106585,2024-03-28 02:12:33.343106508,0.03768449573305477,,{'RW'},1
2024-03-28 02:14:27.203106642,2024-03-28 02:14:28.633106709,0.018306144159009607,,{'RW'},1
2024-03-28 02:42:16.615855694,2024-03-28 02:42:46.827147007,16.565981949391265,34.3680849930279,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 02:43:33.817829609,2024-03-28 02:43:37.413106918,0.19581919799917938,,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 02:44:30.833146811,2024-03-28 02:44:31.967147112,0.052210233477721676,,"{'T', 'RW', 'LW'}",0
2024-03-28 02:44:43.843106508,2024-03-28 02:44:44.643106699,0.0165570780236936,,{'RW'},0
2024-03-28 02:44:59.273106575,2024-03-28 02:45:15.357829571,5.9464366303692815,13.543816815859813,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 02:45:23.763146877,2024-03-28 02:45:27.763146877,0.572438416555314,,"{'T', 'LW'}",0
2024-03-28 02:47:51.593146801,2024-03-28 02:48:00.157829523,0.4632107561624911,,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 02:48:57.133106708,2024-03-28 02:49:46.675855637,19.386825176767488,,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 02:50:56.163146973,2024-03-28 02:51:10.263146877,4.266835915759292,,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 02:51:36.213146925,2024-03-28 02:52:17.787147045,21.267165859073753,14.448103227816631,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 02:52:24.863106489,2024-03-28 02:52:32.265855551,1.5155056925391546,,"{'RL', 'T', 'RW', 'LL'}",0
2024-03-28 02:53:37.917829514,2024-03-28 02:56:52.427829504,319.33206879546907,11.648136529793192,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 02:57:00.333146811,2024-03-28 02:57:54.123106480,18.750838485686852,,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 02:57:59.773106575,2024-03-28 02:58:00.513106584,0.018200279322582356,,{'RW'},0
2024-03-28 02:58:22.437147141,2024-03-28 02:58:31.945855618,1.7047276658079118,,"{'RL', 'T', 'RW', 'LL'}",0
2024-03-28 03:02:05.287829399,2024-03-28 03:02:15.505855560,0.608679020947565,,"{'RL', 'T', 'LL'}",1
2024-03-28 03:02:16.973106623,2024-03-28 03:02:23.233106613,0.1903730947135311,,{'RW'},1
2024-03-28 03:02:43.413106918,2024-03-28 03:02:53.985855579,0.6336328879892846,,"{'RL', 'T', 'RW', 'LL'}",1
2024-03-28 03:03:11.693106890,2024-03-28 03:03:24.583106518,1.671761439457874,,{'RW'},1
2024-03-28 03:04:33.903106689,2024-03-28 03:04:36.793106556,0.12330468161921375,,{'RW'},1
2024-03-28 03:04:36.895855665,2024-03-28 03:04:53.177829504,1.5121578621152805,,"{'RL', 'T', 'LL'}",1
2024-03-28 03:05:33.263146877,2024-03-28 03:05:58.883106709,14.204909638670612,,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 03:06:17.767829418,2024-03-28 03:06:18.957829714,0.009963183355118192,,{'RL'},1
2024-03-28 03:08:07.803146839,2024-03-28 03:08:09.913146973,0.02330950140328756,,{'LW'},1
2024-03-28 03:10:37.467829704,2024-03-28 03:10:37.797829390,0.047737838137025194,,"{'RL', 'LL', 'LW'}",1
2024-03-28 03:23:09.443146944,2024-03-28 03:23:42.893106699,14.788785921146825,,"{'RL', 'LL', 'LW', 'RW', 'T'}",0
2024-03-28 03:24:42.643146992,2024-03-28 03:24:45.417147160,0.043113071774299204,,"{'T', 'LW'}",1
2024-03-28 03:26:09.557829380,2024-03-28 03:26:13.167147160,0.07794618627392756,,"{'RL', 'T'}",1
2024-03-28 03:30:14.277829409,2024-03-28 03:30:14.677829504,0.030458406692720923,,"{'RL', 'LL'}",1
2024-03-28 03:30:53.903106689,2024-03-28 03:30:55.063106298,0.023641946525585364,,{'RW'},1
2024-03-28 03:31:39.193146944,2024-03-28 03:31:46.643146992,0.2735569988676076,,"{'RL', 'LL', 'LW', 'RW', 'T'}",1
2024-03-28 03:31:53.693146944,2024-03-28 03:31:56.633146763,0.05639764854495338,,"{'RL', 'LW'}",1
2024-03-28 03:32:32.143146992,2024-03-28 03:32:34.753146887,0.05355017093076589,,"{'RW', 'LW'}",1
2024-03-28 03:33:24.253146887,2024-03-28 03:33:25.773146868,0.016965472720205325,,{'LW'},1
2024-03-28 03:34:03.623146772,2024-03-28 03:34:05.263146877,0.060903448232310586,,{'LW'},1
2024-03-28 03:34:10.317829609,2024-03-28 03:34:15.717829704,0.057409314676177645,,"{'RL', 'T'}",1
2024-03-28 03:35:31.935855627,2024-03-28 03:35:34.055855513,0.0886410735157255,,"{'RL', 'T', 'LL'}",1
2024-03-28 03:36:16.407829523,2024-03-28 03:36:18.157829523,0.009542238022047417,,{'RL'},1
2024-03-28 03:40:36.547829390,2024-03-28 03:40:39.247147083,0.04171329235356075,,"{'RL', 'T', 'LW'}",1
